Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
23-04-2023,,,,,,,,,,
24-04-2023,,,,,,,,,,
25-04-2023,,,,,,,,,,
26-04-2023,23.3,33.5,27.2,80,0,,3,100,1,C 
27-04-2023,23.9,34.5,27.2,85,6,3.5,4,280,1,NE
28-04-2023,24.6,31.6,26.5,94,30.5,2.7,3,20,1,W 
29-04-2023,23.7,32.6,27.6,84,4.5,,5,310,2,W 
30-04-2023,23.8,33,27.6,91,0,,5,350,1,SW
01-05-2023,,,,,,,,,,
02-05-2023,,,,,,,,,,
03-05-2023,,,,,,,,,,
04-05-2023,,,,,,,,,,
05-05-2023,,,,,,,,,,
06-05-2023,,,,,,,,,,
07-05-2023,24.7,32.5,27.1,88,0,0.3,7,30,2,W 
08-05-2023,,,,,,,,,,
09-05-2023,24,34.5,28.3,86,0,0.8,4,130,1,C 
10-05-2023,24.7,34.4,28.8,84,0.5,3.9,5,50,2,NE
11-05-2023,,,,,,,,,,
12-05-2023,26.9,34.7,28.6,75,0,1,6,90,2,E 
13-05-2023,23.9,34.6,27.6,87,0.4,4.5,9,130,2,SE
14-05-2023,24.1,33.3,27.3,77,25.5,4,4,20,1,C 
15-05-2023,22.2,33.3,27,81,0,3.2,5,270,2,C 
16-05-2023,22.4,33.3,27.3,79,0,,4,20,1,N 
17-05-2023,22.9,33.3,27,78,0,,3,30,1,C 
18-05-2023,24,31.2,27.3,80,0,,3,20,1,C 
19-05-2023,24.4,32.4,27.2,88,0,,3,270,1,C 
20-05-2023,24,33.9,28.2,83,0.8,,3,20,1,C 
21-05-2023,24,34.2,26.8,84,0,,3,180,1,C 
22-05-2023,23.1,33.6,27.8,79,16.8,,5,10,1,C 
23-05-2023,24.8,32.8,28.2,78,0.7,,3,350,1,C 
24-05-2023,23.9,32.6,26.6,90,8888,,4,20,1,S 
25-05-2023,23.6,34.2,27.9,80,0,,3,310,1,C 
26-05-2023,24,34.3,28.1,77,0,,5,20,2,SE
27-05-2023,24.5,32.4,27.5,88,0,,3,20,1,C 
28-05-2023,24.2,33.1,27.5,84,8888,,3,290,1,NW
29-05-2023,24.1,34,27.6,86,0,,3,280,1,C 
30-05-2023,24.8,33.7,27.2,81,9.3,,5,20,1,C 
31-05-2023,23.4,34.3,28,75,5.2,,3,340,1,C 
01-06-2023,23.4,33.8,27.5,78,0,4.8,4,300,1,N 
02-06-2023,23.2,34.7,28,79,0,4.8,6,50,1,C 
03-06-2023,24.1,34.1,28.3,78,0,5.5,4,20,1,C 
04-06-2023,24,34.1,27.3,84,0,0.6,4,210,1,N 
05-06-2023,23.4,33.6,27.7,77,0,1.5,4,340,1,S 
06-06-2023,23.7,31.8,26.3,91,12.5,2.8,5,60,2,C 
07-06-2023,23,32.8,26.3,83,17.5,0.5,5,310,1,C 
08-06-2023,23.4,33.3,27.9,82,13,1.6,5,140,2,E 
09-06-2023,21.7,33.8,26.8,83,0,2,5,50,2,NE
10-06-2023,,33.5,,,8888,4,2,300,1,SE
11-06-2023,22.6,34,27.2,79,0,1.6,5,310,1,C 
12-06-2023,23.1,33,27.2,82,0,7.3,5,30,1,S 
13-06-2023,,33.6,26.2,85,7.5,0.1,7,270,2,S 
14-06-2023,23.4,31,25.2,89,63,1,9,130,2,C 
15-06-2023,22.6,33.2,27.6,76,7.3,0,5,50,2,SW
16-06-2023,22.3,31,24.2,97,49,5.1,4,230,1,SW
17-06-2023,22.6,30.9,,,7.4,,2,150,1,S 
18-06-2023,23.4,32.9,27.5,85,,0,3,100,2,E 
19-06-2023,24.2,32.2,26.3,89,3.7,0.8,5,230,2,SW
20-06-2023,22.7,,,,8888,2.8,3,40,1,SE
21-06-2023,22.6,33.4,26.8,88,,5.1,6,20,1,W 
22-06-2023,24.4,33.4,28.3,80,8.7,4,6,350,1,C 
23-06-2023,,32.6,28,80,0,1.9,3,300,1,C 
24-06-2023,24,33.2,27.8,83,0,0,5,340,1,C 
25-06-2023,23.8,33.1,26.3,86,0,3.8,8,190,2,S 
26-06-2023,21.8,32.3,26.4,85,8888,2.6,4,320,1,C 
27-06-2023,22.3,33.2,27,79,,4.5,4,360,1,C 
28-06-2023,22.9,33.4,27.2,80,33.9,5.5,4,340,2,SE
29-06-2023,23.6,33.7,27.2,80,0.4,,5,360,2,W 
30-06-2023,23.5,33.4,27.8,80,0,5.6,4,300,1,C 
01-07-2023,,,,,,,,,,
02-07-2023,,,,,,,,,,
03-07-2023,,,,,,,,,,
04-07-2023,,,,,,,,,,
05-07-2023,,,,,,,,,,
06-07-2023,,,,,,,,,,
07-07-2023,,,,,,,,,,
08-07-2023,,,,,,,,,,
